DamID,Lepto,BrucellaLFA,BrucellaRBG,GirthDam,CSDam,SL,East,North,Elevat,CalfSex,DAge,DCalving,TDFarm,DAge2
DM010320080,0,0,0,144,4.5,3,34.33695,0.61734,1276,1,-888,3,-888,4
DM010320081,0,0,0,136,5.5,3,34.33597,0.61633,1182,2,4,1,48,4
DM010320082,0,0,0,131.5,6,3,34.31965,0.60217,1214,1,-888,1,-888,4
DM010320083,0,0,0,128.5,5,3,34.33793,0.60983,1189,1,3.5,1,30,3.5
DM010320084,0,0,0,135,4.5,3,34.29743,0.60293,1164,2,9,2,108,9
DM010320085,0,0,0,134,4.5,3,34.29594,0.60487,1238,1,-888,2,48,8
DM010320086,0,0,0,137,4,3,34.33676,0.60806,1186,2,-888,1,48,5
DM010320087,1,0,0,142.5,4.5,3,34.32267,0.6141,1182,1,-888,2,24,8
DM010320088,0,0,0,132,6,3,34.29631,0.60406,1164,1,-888,1,-888,3
DM020420091,0,0,0,155,6.5,4,34.4042,0.53722,1277,1,12,5,12,12
DM020420092,0,0,0,-888,5,4,34.40781,0.53091,1262,1,-888,1,18,12
DM020420093,0,0,0,137,5.5,4,34.41844,0.51462,1264,1,9,6,108,9
DM020420094,0,0,0,131,4,4,34.42484,0.52667,1291,2,10,3,12,10
DM020420095,0,0,0,143,6,4,34.43312,0.51801,1376,1,5,3,36,5
DM020420096,0,0,0,146,6,4,34.43241,0.52429,1307,2,10.5,4,12,10.5
DM020420097,0,0,0,146,7,4,34.42188,0.53307,1281,2,5.5,3,12,5.5
DM020420098,0,0,0,155,7,4,34.39995,0.53636,1267,1,5,4,12,5
DM020420099,0,0,0,143,8,4,34.43803,0.53487,1320,2,10.5,4,12,10.5
DM020420100,0,0,0,155,7.5,4,34.42833,0.52061,1299,1,2,2,24,2
DM020420101,0,0,0,141,7,4,34.4104,0.51397,1268,1,-888,3,60,5
DM020420102,0,0,0,145.5,8,4,34.40625,0.51572,1257,1,6,2,72,6
DM020420103,0,0,0,129,6,4,34.40373,0.53467,1280,2,-888,1,24,5
DM020420104,0,0,0,123,5,4,34.3968,0.53802,1205,2,4,1,48,4
DM020420105,0,0,0,124,4.5,4,34.41382,0.5128,1263,1,5,1,60,5
DM020420106,0,0,0,147,4.5,4,34.41705,0.52682,1270,2,-888,4,72,7
DM020420107,0,0,0,135,4,4,34.40822,0.5174,1247,1,-888,1,12,11
DM020420108,0,0,0,120,5.5,4,34.42647,0.5351,1209,1,-888,2,48,5
DM020420109,1,0,0,140,6,4,34.41304,0.52232,1267,1,-888,3,48,8
DM020420110,0,0,0,137,6,4,34.40784,0.51317,1258,2,4,1,48,4
DM020420111,0,0,0,146.5,6.5,4,34.44507,0.52471,1325,1,3.5,1,30,3.5
DM020420112,0,0,0,136,6,4,34.43827,0.51965,1298,1,-888,2,36,5
DM020420113,0,0,0,123,6,4,34.40585,0.51539,1261,1,-888,3,-888,11
DM020420114,0,0,0,144,6.5,4,34.44654,0.52994,1323,2,-888,3,-888,3
DM020420116,0,0,0,141,6,4,34.42365,0.54238,1279,2,-888,4,72,9
DM020420117,0,0,0,152.5,6,4,34.43389,0.52412,1311,2,-888,2,72,10
DM020420118,0,0,0,157,7,4,34.43257,0.51658,1296,1,-888,1,12,3
DM020420119,0,0,0,135,6,4,34.422,0.51723,1279,1,-888,2,48,7
DM020520121,0,0,0,129.5,5,5,34.28234,0.55235,1259,2,-888,2,12,9
DM020520122,0,0,0,128,5.5,5,34.28477,0.5534,1248,1,-888,5,132,6
DM020520123,0,0,0,134.5,5,5,34.30103,0.53131,1227,1,-888,1,36,7
